,dateSold,propertyType,lotAreaValue,address,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,contingentListingType,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,listingSubType.is_FSBA,listingSubType.is_openHouse,newConstructionType,unit,listingSubType.is_newHome,listingSubType.is_FSBO,listingSubType.is_accepting_backup_offers
13,,SINGLE_FAMILY,2178.0,"917 Chestnut Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/4560b29811f9ec2330e81326717c1395-p_e.jpg,289000,3.0,-77.937355,34.23865,FOR_SALE,54301824,,-1,2.0,1151.0,USA,USD,sqft,True,True,,,,,,
27,,SINGLE_FAMILY,2613.6,"707 N 11th Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/757e38dfb465e7f3e0cd7a89c64ebbb6-p_e.jpg,275000,2.0,-77.935905,34.24409,FOR_SALE,54300701,,-1,2.0,1149.0,USA,USD,sqft,True,True,,,,,,
33,,SINGLE_FAMILY,4791.6,"105 N 13th Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/0b515c8351583e1dd9cfc870d86350f8-p_e.jpg,239900,3.0,-77.933334,34.23821,FOR_SALE,54301987,,-1,2.0,1463.0,USA,USD,sqft,True,True,,,,,,
34,,SINGLE_FAMILY,0.25,"449 N 21st Street, Wilmington, NC 28405",https://photos.zillowstatic.com/fp/608ccf33669c23a8058439c37a3cf8c1-p_e.jpg,315000,3.0,-77.92484,34.244804,FOR_SALE,54300922,,-1,2.0,1366.0,USA,USD,acres,True,True,,,,,,
40,,SINGLE_FAMILY,1742.4,"319 Anderson Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/1f63ff913116bedf4a92de77db1fb456-p_e.jpg,149997,2.0,-77.93889,34.240288,FOR_SALE,54300588,,-1,1.0,1038.0,USA,USD,sqft,True,True,,,,,,
43,,SINGLE_FAMILY,0.34,"826 Colonial Drive, Wilmington, NC 28403",https://photos.zillowstatic.com/fp/46819c4e07d83271c58f02162d379baa-p_e.jpg,395000,2.0,-77.91262,34.226948,FOR_SALE,54311633,,-1,2.0,1541.0,USA,USD,acres,True,True,,,,,,
47,,SINGLE_FAMILY,9583.2,"705 Nixon Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/54c6e20eb1889f5611a7f5ca112327e6-p_e.jpg,265000,3.0,-77.94217,34.24967,FOR_SALE,54299373,,-1,2.0,1218.0,USA,USD,sqft,True,True,,,,,,
48,,SINGLE_FAMILY,8712.0,"213 N 10th Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/b7eae9fb4579d1f6c5511897d67e13d8-p_e.jpg,199900,2.0,-77.93743,34.239216,FOR_SALE,54301829,,-1,1.0,1293.0,USA,USD,sqft,True,True,,,,,,
49,,SINGLE_FAMILY,3484.8,"111 N 8th Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/0a956c1f3185998216fa72762a49d57c-p_e.jpg,299900,3.0,-77.93979,34.237823,FOR_SALE,54301687,,-1,1.0,1292.0,USA,USD,sqft,True,True,,,,,,
53,,SINGLE_FAMILY,2613.6,"206 Gores Row, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/9f5aea0268fad6d571577fe0f427fe10-p_e.jpg,250000,3.0,-77.93593,34.233456,FOR_SALE,54309528,,-1,2.0,1008.0,USA,USD,sqft,True,True,,,,,,
60,,SINGLE_FAMILY,2613.6,"204 Gores Row, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/79d5388d186d462605d5c477da52670a-p_e.jpg,250000,3.0,-77.935936,34.233547,FOR_SALE,54309529,,-1,2.0,1008.0,USA,USD,sqft,True,True,,,,,,
62,,SINGLE_FAMILY,3484.8,"916 Rankin Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/2334a2caab89a7ee5f6f6fca4d77d77f-p_e.jpg,319000,3.0,-77.937744,34.24139,FOR_SALE,54300565,,-1,2.0,1882.0,USA,USD,sqft,True,True,,,,,,
65,,SINGLE_FAMILY,7405.2,"12 N 23rd Street, Wilmington, NC 28405",https://photos.zillowstatic.com/fp/1509138c6f58cdedeb71df533b25ed93-p_e.jpg,340000,3.0,-77.918205,34.2389,FOR_SALE,54302330,,-1,2.0,1597.0,USA,USD,sqft,True,True,,,,,,
67,,SINGLE_FAMILY,6098.4,"210 N 11th Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/dbc54120fdfc227de01a12e0f325a48e-p_e.jpg,399900,4.0,-77.93542,34.239265,FOR_SALE,54301853,,-1,2.0,1695.0,USA,USD,sqft,True,True,,,,,,
69,,SINGLE_FAMILY,3049.2,"407 Wilson Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/f254bcbf4fc4d3fa52ecb1ff5bc440f7-p_e.jpg,379900,3.0,-77.939255,34.230553,FOR_SALE,151118966,,-1,3.0,1300.0,USA,USD,sqft,True,,,BUILDER_SPEC,,True,,
72,,SINGLE_FAMILY,4356.0,"2205 Carlton Avenue, Wilmington, NC 28403",https://photos.zillowstatic.com/fp/1aec69be523501a1dae8c90348c17c03-p_e.jpg,380000,2.0,-77.91842,34.236893,FOR_SALE,54302341,,-1,2.0,2466.0,USA,USD,sqft,True,True,,,,,,
73,,SINGLE_FAMILY,4791.6,"305 S 17th Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/5097aed875d710a713e2354920d08a99-p_e.jpg,300000,2.0,-77.92678,34.232544,FOR_SALE,54310004,,-1,1.0,1186.0,USA,USD,sqft,True,True,,,,,,
2,1970-01-01,SINGLE_FAMILY,1.1666896235078,"409 S 5th Ave, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23019027709961,-77.94220733642578&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=ueINblcmd1xGs05_bz-nd7ca73s=",8500,,-77.94221,34.23019,RECENTLY_SOLD,84713988,,-1,2.25,26149.0,USA,USD,acres,,,,,,,,
4,1970-01-01,SINGLE_FAMILY,4356.0,"1705 Queen St, Wilmington, NC 28403",https://photos.zillowstatic.com/fp/af7495216e7f2fddc3de718785135f7c-p_e.jpg,19000,3.0,-77.926025,34.22856,RECENTLY_SOLD,54311559,,-1,1.0,1075.0,USA,USD,sqft,True,,,,,,,
5,1970-01-01,SINGLE_FAMILY,3301.0,"1604 Castle St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.229217529296875,-77.92752075195312&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=QkKZOcVFVmh5m9JV4fOtk8eb5i0=",40000,3.0,-77.92752,34.229218,RECENTLY_SOLD,69139418,,-1,1.0,1387.0,USA,USD,sqft,,,,,,,,
